stream_title,stream_url,stream_status,stream_type,is_rewind,category,poi,poi_detail,provider,provider_url,address,latitude,longitude,last_updated
🔴Live Cam Yokohama Japan :横浜汽車道ライブカメラ - YouTube,https://www.youtube.com/watch?v=AIrD9DwGS6s,FALSE,video,TRUE,海岸,横浜汽車道,,横浜汽車道ライブカメラ /Live Cam Yokohama Japan - YouTube,https://www.youtube.com/@YokohamaLiveCam,神奈川県横浜市中区新港二丁目9,35.444688,139.642203,2024-04-15 18:17:39
ライブカメラ　身延山　三門前広場 - YouTube,https://www.youtube.com/watch?v=ElrK4VHP1V0,TRUE,video,TRUE,山岳,身延山,,NNS LiveCamera - YouTube,https://www.youtube.com/@nnslivecamera5440/streams,山梨県南巨摩郡早川町初鹿島,35.663935,138.568379,2024-04-13 19:16:37
身延山久遠寺境内ライブカメラ LIVE Camera #身延山 #久遠寺 #ライブカメラ #livecam - YouTube,https://www.youtube.com/watch?v=EjAS_uzVXaI,TRUE,video,TRUE,観光,身延山久遠寺,身延山久遠寺境内の釈迦殿新納牌堂,【公式】日蓮宗総本山 身延山久遠寺 - YouTube,https://www.youtube.com/@minobusan/streams,山梨県南巨摩郡身延町身延3567,35.663935,138.568379,2024-04-13 19:21:42
【LIVE】笠置キャンプ場ライブカメラ／Kasagi campsite livecam - YouTube,https://www.youtube.com/watch?v=jp8YydpqWJA,TRUE,video,TRUE,観光,笠置大橋,,笠置キャンプ場 Channel - YouTube,https://www.youtube.com/@Channel-tf8sn/streams,京都府相楽郡笠置町笠置,35.021279,135.755635,2024-04-15 18:16:31
綾川町高山航空公園のライブ配信 - YouTube,https://www.youtube.com/watch?v=hEQioVpPGms,TRUE,video,TRUE,観光,高山航空公園,,綾川町高山航空公園 - YouTube,https://www.youtube.com/@user-hw1vm9bm6h,香川県綾歌郡綾川町東分乙390-17,34.34016,134.04339,2024-04-13 19:25:15
綾川町高山航空公園のライブ配信２ - YouTube,https://www.youtube.com/watch?v=c2yEmi36pAc,TRUE,video,TRUE,観光,高山航空公園,,綾川町高山航空公園 - YouTube,https://www.youtube.com/@user-hw1vm9bm6h,香川県綾歌郡綾川町東分乙390-17,34.34016,134.04339,2024-04-13 19:25:18
湯原温泉ライブカメラ　砂湯手前・湯原国際観光ホテル菊之湯の対岸にある毘沙門天・伏見稲荷の桜並木　岡山県真庭市 - YouTube,https://www.youtube.com/watch?v=x_QaChqiMjk,TRUE,video,TRUE,観光,湯原温泉,,39K - YouTube,https://www.youtube.com/@39k/streams,岡山県真庭市湯原温泉,34.661759,133.934894,2024-04-13 19:42:09
湯原温泉お天気ライブカメラ　青空・雨　岡山県真庭市 - YouTube,https://www.youtube.com/watch?v=PbqxYObjHms,TRUE,video,TRUE,観光,湯原温泉,,39K - YouTube,https://www.youtube.com/@39k/streams,岡山県真庭市湯原温泉,34.661759,133.934894,2024-04-13 19:42:12
桃畑（福島県伊達市ライブカメラ） - YouTube,https://www.youtube.com/watch?v=PmdMkEqJu5A,TRUE,video,TRUE,観光,桃畑,,伊達市ライブカメラ - YouTube,https://www.youtube.com/@user-gg1ze7bw5l,福島県伊達市箱崎字梁下一,37.819095,140.562894,2024-06-05 16:54:41
名峰　霊山（福島県伊達市ライブカメラ） - YouTube,https://www.youtube.com/watch?v=YSxA8LKv8XA,TRUE,video,TRUE,観光,霊山,,伊達市ライブカメラ - YouTube,https://www.youtube.com/@user-gg1ze7bw5l,福島県伊達市霊山町石田字釜ヶ平,37.819095,140.562894,2024-04-13 19:42:22
